Date,spot,vol,rate
1/10/2005,119,12.0881,2.010043
1/11/2005,118.18,12.0032,1.989605
1/12/2005,118.57,11.6881,1.959011
1/13/2005,117.62,11.9714,2.020655
1/14/2005,118.24,11.4243,2.010043
1/18/2005,119.47,11.3634,1.959011
1/19/2005,118.22,12.2727,1.877721
1/20/2005,117.5,12.577,1.847146
1/21/2005,116.78,12.8375,1.959327
1/24/2005,116.55,13.1434,1.97955
1/25/2005,116.88,12.5677,1.999769
1/26/2005,117.23,12.1711,2.050472
1/27/2005,117.43,11.7715,2.132525
1/28/2005,117.43,11.9861,2.081317
1/31/2005,118.16,11.7521,2.010043
2/1/2005,118.91,10.9587,2.060751
2/2/2005,119.27,10.8908,2.131778
2/3/2005,119.11,10.8746,2.17321
2/4/2005,120.23,10.2271,2.18299
2/7/2005,120.07,10.8829,2.243863
2/8/2005,120.21,10.7053,2.264058
2/9/2005,119.31,11.1426,2.284248
2/10/2005,119.74,10.7372,2.335974
2/11/2005,120.77,10.4324,2.345696
2/14/2005,120.68,10.6963,2.335376
2/15/2005,121.13,10.3882,2.335227
2/16/2005,121.21,10.1808,2.335077
2/17/2005,120.23,10.6156,2.386846
2/18/2005,120.39,10.1738,2.376052
2/22/2005,118.6,11.6407,2.38591
2/23/2005,119.45,11.0836,2.38591
2/24/2005,120.24,10.3209,2.385754
2/25/2005,121.43,10.1171,2.488092
2/28/2005,120.63,10.9094,2.477751
3/1/2005,121.23,10.9502,2.457245
3/2/2005,121.17,11.3093,2.45708
3/3/2005,121.22,11.3877,2.529307
3/4/2005,122.73,10.7025,2.538954
3/7/2005,122.79,10.8506,2.548949
3/8/2005,122.33,10.9073,2.558941
3/9/2005,120.97,11.442,2.548593
3/10/2005,121.24,11.279,2.580193
3/11/2005,120.39,11.5585,2.579646
3/14/2005,121.14,11.394,2.579464
3/15/2005,120.14,11.7968,2.630135
3/16/2005,119.12,12.1036,2.609607
3/17/2005,119.36,12.048,2.661619
3/18/2005,118.54,11.8949,2.681386
